"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_A_12_12_2017"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_B_12_12_2017_11"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_C_12_12_2017_13"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_D_12_12_2017_15"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_17"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_47"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_F_12_12_2017_65"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS55_P_G_12_12_2017_66"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_H_12_12_2017_92"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A70_2090_V_T48_P_MSMS45_P_I_23_12_2017_98"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
