"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Light]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"HL to HL 0 1"	"High light to high light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"HL to HL 0 2"	"High light to high light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"HL to HL 0 3"	"High light to high light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 0 1"	"Low light to low light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 0 2"	"Low light to low light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 0 3"	"Low light to low light"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 7 1"	"Low light to low light"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 7 2"	"Low light to low light"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 7 3"	"Low light to low light"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 21 1"	"Low light to low light"	""	""	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 21 2"	"Low light to low light"	""	""	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to LL 21 3"	"Low light to low light"	""	""	"21"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to HL 7 1"	"Low light to high light"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Coral LC MS"	"Acropora muricata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/159855"	"endometabolome"	""	""	"Extraction"	"LL to HL 7 2"	"Low light to high light"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
