"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn01"	"POS_ToF_GreenTea_Blankn01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"31"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn02"	"POS_ToF_GreenTea_Blankn02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"51"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn03"	"POS_ToF_GreenTea_Blankn03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"71"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn04"	"POS_ToF_GreenTea_Blankn04.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"91"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn05"	"POS_ToF_GreenTea_Blankn05.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"111"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn06"	"POS_ToF_GreenTea_Blankn06.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"131"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn07"	"POS_ToF_GreenTea_Blankn07.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"151"	""	""
"GreenTea_Blank"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_Blankn08"	"POS_ToF_GreenTea_Blankn08.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"171"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn01"	"POS_ToF_GreenTea_QCn01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"33"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn02"	"POS_ToF_GreenTea_QCn02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"53"	""	""
