"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"
"NIBIO Exp 1"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"Blank_Start_Run"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_001"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_002"	"2"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_003"	"3"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_12oC_4"	"4"	""	""	"Natural"	""	""	"12"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_24oC_1"	"1"	""	""	"Natural"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10+3h_18oC_2"	"2"	""	""	"10h + 3h light interuption"	""	""	"18"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10h_18oC_3"	"3"	""	""	"10h"	""	""	"18"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_24oC_4"	"4"	""	""	"Natural"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_004"	"4"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
