"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"J1_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_1"	"J101_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"J1_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_2"	"J102_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"J1_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_3"	"J103_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"J1_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_4"	"J104_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"J1_5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_5"	"J105_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"J1_6"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"J1_6"	"J106_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC1_1"	"QC1_1.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC1_2"	"QC1_2.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC1_3"	"QC1_3.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms Ultra Inert GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC1_4"	"QC1_4.cdf"	"Data transformation"	"Normalized data.xlsx"	""	"Metabolite identification"	""	"m_hydrazinosuccinic_acid_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
