"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_4"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_5"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J1_6"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J2_1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J2_2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J2_3"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"ATCC TIB-152"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT E-6.1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001948"	"Sample collection"	"J2_4"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
