"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Total acylglycerol in LD]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Total Protein in LD]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Nutritional status]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age at sacrifice]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"46"	"1.74"	"mg/ml2"	""	""	"0.67"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"47"	"1.3"	"mg/ml2"	""	""	"0.58"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"48"	"1.49"	"mg/ml2"	""	""	"0.53"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"49"	"3.02"	"mg/ml2"	""	""	"0.57"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"ATGL Knock out"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"50"	"4.42"	"mg/ml2"	""	""	"0.77"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"ATGL Knock out"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"51"	"4.14"	"mg/ml2"	""	""	"0.79"	"mg/ml2"	""	""	"Fed state, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"ATGL Knock out"	""	""
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"52"	"10.28"	"mg/ml2"	""	""	"1.82"	"mg/ml2"	""	""	"Fasted, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"53"	"9.09"	"mg/ml2"	""	""	"1.7"	"mg/ml2"	""	""	"Fasted, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"54"	"9.26"	"mg/ml2"	""	""	"1.69"	"mg/ml2"	""	""	"Fasted, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type organism genotype information"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0001294"
"WT mouse"	"Mus musculus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"hepatocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000575"	"Sample collection"	"55"	"2.46"	"mg/ml2"	""	""	"0.95"	"mg/ml2"	""	""	"Fasted, normal chow diet"	""	""	"12"	"weeks"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"ATGL Knock out"	""	""
