"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Biofluid]"	"Term Source REF"	"Term Accession Number"
"Serum"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample S1"	"Serum"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13325"
"Serum"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample S2"	"Serum"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13325"
"Serum"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample S3"	"Serum"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13325"
"Serum"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample S4"	"Serum"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13325"
"Serum"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Sample S5"	"Serum"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13325"
"Feces"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Sample F1"	"Feces"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234"
"Feces"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Sample F2"	"Feces"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234"
"Feces"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Sample F3"	"Feces"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234"
"Feces"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Sample F4"	"Feces"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234"
"Feces"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"Sample F5"	"Feces"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234"
"Urine"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"Sample U1"	"Urine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283"
"Urine"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"Sample U2"	"Urine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283"
"Urine"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"Sample U3"	"Urine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283"
"Urine"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"Sample U4"	"Urine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283"
"Urine"	"Bos grunniens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/30521"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"Sample U5"	"Urine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283"
