"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Exhalion file]"
"20180920_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180920_01_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_01_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__09_26_05.txt"
"20180920_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__10_35_27.txt"
"20180920_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__12_21_48.txt"
"20180920_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180920_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__13_25_11.txt"
"20180920_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__13_36_58.txt"
"20180920_06_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_06_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_06_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_06_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__13_47_11.txt"
"20180920_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180920_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__14_09_54.txt"
"20180920_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_08_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_08_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__15_19_12.txt"
"20180920_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180920_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180920_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180920_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_20__15_32_44.txt"
"20180921_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180921_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180921_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180921_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_21__09_27_27.txt"
