"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Addition of TEA]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Storage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"alpha-tocopherol"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"chlorophyll-a"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"chlorophyll-b"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"carotenal"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein-epoxide"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"neoxanthin"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"phytoene"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"violaxanthin"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Chemical standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"zeaxanthin"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
