"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Olive fruit maturation ]"	"Unit"	"Term Source REF"	"Term Accession Number"
"F6-1"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F6-1"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F6-2"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F6-2"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F6-3"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F6-3"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F7-1"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F7-1"	"80"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F7-2"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F7-2"	"80"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F7-3"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F7-3"	"80"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F8-1"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F8-1"	"110"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F8-2"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F8-2"	"110"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F8-3"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F8-3"	"110"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F9-1"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F9-1"	"140"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F9-2"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F9-2"	"140"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F9-3"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F9-3"	"140"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F10-1"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F10-1"	"170"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F10-2"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F10-2"	"170"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"F10-3"	"Olea europaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4146"	"Olea europaea L."	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F10-3"	"170"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
