"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Extraction Solvent]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Metabolism Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subsampling Method]"	"Term Source REF"	"Term Accession Number"
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_BD_01"	"Bligh and Dyer"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_BD_02"	"Bligh and Dyer"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_BD_03"	"Bligh and Dyer"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_BD_04"	"Bligh and Dyer"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MeOH_01"	"Methanol"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MeOH_02"	"Methanol"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MeOH_03"	"Methanol"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MeOH_04"	"Methanol"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MTBE_01"	"Methyl tert-butyl ether"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Acropora cervicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6130"	"endometabolome"	""	""	"Sample collection"	"ACER_MTBE_02"	"Methyl tert-butyl ether"	""	""	""	""	""	"Homogenate"	""	""
