"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[material sample]"	"Term Source REF"	"Term Accession Number"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person1_Blood"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person1_Plasma"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Person1_RBC"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person2_Blood"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person2_Plasma"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Person2_RBC"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Person3_Blood"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Person3_Plasma"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Person3_RBC"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"	"Sample collection"	"Person2_WBC"	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	""	""	""	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"	"Sample collection"	"Person3_WBC"	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"
"Fission yeast"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Spombe_cell_sample1"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"
"Fission yeast"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Spombe_cell_sample2"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"
"Fission yeast"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Spombe_cell_sample3"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"
