"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"9Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"11Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"11Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"20Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"13Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"9Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"1Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"13Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"6Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"12Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"1Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"2Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"8Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"19Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"16Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"16Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"3Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"17Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"5Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"12Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"7Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"19Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"2Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"5Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"17Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"3Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"6Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"low fibre"	""	""	"8Endo2stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"high fibre"	""	""	"7Endo1stool"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"13Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"11Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"12Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"6Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"11Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"2Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"1Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"2Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"13Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"5Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"7Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"8Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"1Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"20Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"9Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"8Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"19Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"11Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"3Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"9Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"5Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"15Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"3Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"17Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"16Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"16Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"high fibre"	""	""	"17Endo1aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"6Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"12Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"7Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"20Endo2aspirate"
"western diet"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"duodenum aspirate"	""	""	"Sample collection"	"low fibre"	""	""	"19Endo2aspirate"
