"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A1_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A1_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A1_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A1_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A2_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A2_Rep2_pos"	"Rep2"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A2_Rep3_pos"	"Rep3"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A2_Rep4_pos"	"Rep4"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A3_Rep1_pos"	"Rep1"	""	""
"MPIMP.Group-1.Subject-001"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"	"rosette"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001201"	"Sample collection"	"A3_Rep2_pos"	"Rep2"	""	""
