"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"WT_1_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_1_1"	"FSFA_PSF_ST_WT1_1.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT1_1.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WT_1_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_1_2"	"FSFA_PSF_ST_WT1_2.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT1_2.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WT_2_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_2_1"	"FSFA_PSF_ST_WT2_1.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT2_1.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WT_2_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_2_2"	"FSFA_PSF_ST_WT2_2.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT2_2.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WT_3_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_3_1"	"FSFA_PSF_ST_WT3_1.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT3_1.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WT_3_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"WT_3_2"	"FSFA_PSF_ST_WT3_2.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_WT3_2.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mkp1_1_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"mkp1_1_1"	"FSFA_PSF_ST_mkp1_1_1.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_mkp1_1_1.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mkp1_1_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"mkp1_1_2"	"FSFA_PSF_ST_mkp1_1_2.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_mkp1_1_2.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mkp1_2_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"mkp1_2_1"	"FSFA_PSF_ST_mkp1_2_1.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_mkp1_2_1.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mkp1_2_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"mkp1_2_2"	"FSFA_PSF_ST_mkp1_2_2.D.zip"	"Data transformation"	""	"FSFA_PSF_ST_mkp1_2_2.CDF"	"Metabolite identification"	""	"m_dc3000_t3ss_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
