"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[infection stage]"	"Term Source REF"	"Term Accession Number"
"Extraction Blank"	"blank"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Blank 1"	""	""	""	""	""	""
"Uninfected red blood cell"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"uRBC 1"	""	""	""	""	""	""
"WT Trophozoite"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-T 1"	"WT"	""	""	"1"	""	""
"KO Trophozoite"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-T 1"	"KO"	""	""	"1"	""	""
"WT  Gametocytes Stage 1"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G1 1"	"WT"	""	""	"2"	""	""
"KO Gametocytes Stage 1"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G1 1"	"KO"	""	""	"2"	""	""
"WT  Gametocytes Stage 2"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G2 1"	"WT"	""	""	"3"	""	""
"KO Gametocytes Stage 2"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G2 1"	"KO"	""	""	"3"	""	""
"WT  Gametocytes Stage 3"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G3 1"	"WT"	""	""	"4"	""	""
"KO Gametocytes Stage 3"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G3 1"	"KO"	""	""	"4"	""	""
"WT  Gametocytes Stage 4"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G4 1"	"WT"	""	""	"5"	""	""
"KO Gametocytes Stage 4"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G4 1"	"KO"	""	""	"5"	""	""
"WT  Gametocytes Stage 5"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G5 1"	"WT"	""	""	""	""	""
"KO Gametocytes Stage 5"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G5 1"	"KO"	""	""	""	""	""
"Extraction blank"	"blank"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Blank 2"	""	""	""	""	""	""
"Uninfected red blood cell"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"uRBC 2"	""	""	""	""	""	""
"WT Trophozoite"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-T 2"	"WT"	""	""	"1"	""	""
"KO Trophozoite"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-T 2"	"KO"	""	""	"1"	""	""
"WT  Gametocytes Stage 1"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G1 2"	"WT"	""	""	"2"	""	""
"KO Gametocytes Stage 1"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G1 2"	"KO"	""	""	"2"	""	""
"WT  Gametocytes Stage 2"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G2 2"	"WT"	""	""	"3"	""	""
"KO Gametocytes Stage 2"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G2 2"	"KO"	""	""	"3"	""	""
"WT  Gametocytes Stage 3"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G3 2"	"WT"	""	""	"4"	""	""
"KO Gametocytes Stage 3"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G3 2"	"KO"	""	""	"4"	""	""
"WT  Gametocytes Stage 4"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G4 2"	"WT"	""	""	"5"	""	""
"KO Gametocytes Stage 4"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G4 2"	"KO"	""	""	"5"	""	""
"WT  Gametocytes Stage 5"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-G5 2"	"WT"	""	""	""	""	""
"KO Gametocytes Stage 5"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"KO-G5 2"	"KO"	""	""	""	""	""
"Extraction blank"	"blank"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Blank 3"	""	""	""	""	""	""
"Uninfected red blood cell"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"uRBC 3"	""	""	""	""	""	""
"WT Trophozoite"	"Homo sapiens/NCBITAXON:Plasmodium falciparum"	"NCBITAXON"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"WT-T 3"	"WT"	""	""	"1"	""	""
