"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_01"	""	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_01"	""	""	""	"93"	""	""	"1"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_02"	""	""	""	"4"	""	""	"2"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_02"	""	""	""	"94"	""	""	"2"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_03"	""	""	""	"5"	""	""	"3"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_03"	""	""	""	"95"	""	""	"3"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_04"	""	""	""	"6"	""	""	"4"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_04"	""	""	""	"96"	""	""	"4"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_05"	""	""	""	"15"	""	""	"5"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_06"	""	""	""	"22"	""	""	"6"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_07"	""	""	""	"30"	""	""	"7"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_08"	""	""	""	"39"	""	""	"8"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_09"	""	""	""	"47"	""	""	"9"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_10"	""	""	""	"55"	""	""	"10"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_11"	""	""	""	"63"	""	""	"11"	""	""	"1"	""	""	"QC"	""	""
