Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Characteristics[Correction Batch]	Term Source REF	Term Accession Number	Comment[Exclusion Details]	Characteristics[Run Order]	Unit	Term Source REF	Term Accession Number	Characteristics[Batch]	Term Source REF	Term Accession Number	Characteristics[Plate]	Term Source REF	Term Accession Number	Characteristics[Well]	Term Source REF	Term Accession Number	Characteristics[Matrix]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Acquired Full Time String]	Term Source REF	Term Accession Number	Parameter Value[TOF]	Term Source REF	Term Accession Number	Parameter Value[Start Mass]	Term Source REF	Term Accession Number	Parameter Value[Source Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Source Offset]	Term Source REF	Term Accession Number	Parameter Value[Scan Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sampling Cone]	Term Source REF	Term Accession Number	Parameter Value[Resolution]	Term Source REF	Term Accession Number	Parameter Value[Polarity]	Term Source REF	Term Accession Number	Parameter Value[LM Resolution]	Term Source REF	Term Accession Number	Parameter Value[Interscan Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[HM Resolution]	Term Source REF	Term Accession Number	Parameter Value[File Path]	Term Source REF	Term Accession Number	Parameter Value[End Mass]	Term Source REF	Term Accession Number	Parameter Value[Detector]	Term Source REF	Term Accession Number	Parameter Value[Desolvation Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Desolvation Gas Flow]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cone Gas Flow]	Unit	Term Source REF	Term Accession Number	Parameter Value[Column Type]	Term Source REF	Term Accession Number	Parameter Value[Collision Energy]	Term Source REF	Term Accession Number	Parameter Value[Collision]	Term Source REF	Term Accession Number	Parameter Value[Capillary]	Unit	Term Source REF	Term Accession Number	Parameter Value[Backing]	Term Source REF	Term Accession Number	Parameter Value[Acquired Time]	Term Source REF	Term Accession Number	Parameter Value[Acquired Date]	Term Source REF	Term Accession Number	Parameter Value[Column Serial Number]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ionisation]	Term Source REF	Term Accession Number	Parameter Value[Chromatography]	Term Source REF	Term Accession Number	MS Assay Name	Characteristics[LIMS Marked Missing]	Term Source REF	Term Accession Number	Characteristics[LIMS Present]	Term Source REF	Term Accession Number	Characteristics[Data Present]	Term Source REF	Term Accession Number	Characteristics[Status]	Term Source REF	Term Accession Number	Characteristics[Acquisition Batch]	Term Source REF	Term Accession Number	Characteristics[Sample Batch]	Term Source REF	Term Accession Number	Characteristics[Sample Position]	Term Source REF	Term Accession Number	Characteristics[Assay Data Location]	Term Source REF	Term Accession Number	Characteristics[Assay Data Name]	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Data Transformation Name	Derived Spectral Data File
7677	extraction	7677	labeling	7677	7677	2				1700	order			2			39			1			P			mass spectrometry	43			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W01.raw			1200			3009			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			43:43:00	17		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A1			flower_RD39			flower_RD39W01			/Volumes/data_archives3/flower/FDD/flower_RD39W01.raw	data transformation	7677	/Volumes/data_archives3/flower/FDD/flower_RD39W01.raw
9065	extraction	9065	labeling	9065	9065	2				1701	order			2			39			2			P			mass spectrometry	58			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W02.raw			1200			3009			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.23			58:49:00	17		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A2			flower_RD39			flower_RD39W02			/Volumes/data_archives3/flower/FDD/flower_RD39W02.raw	data transformation	9065	/Volumes/data_archives3/flower/FDD/flower_RD39W02.raw
9431	extraction	9431	labeling	9431	9431	2				1702	order			2			39			3			P			mass spectrometry	13			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W03.raw			1200			3009			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.23			13:55	18		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A3			flower_RD39			flower_RD39W03			/Volumes/data_archives3/flower/FDD/flower_RD39W03.raw	data transformation	9431	/Volumes/data_archives3/flower/FDD/flower_RD39W03.raw
5856	extraction	5856	labeling	5856	5856	2				1703	order			2			39			4			P			mass spectrometry	28			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W04.raw			1200			3010			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			28:55:00	18		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A4			flower_RD39			flower_RD39W04			/Volumes/data_archives3/flower/FDD/flower_RD39W04.raw	data transformation	5856	/Volumes/data_archives3/flower/FDD/flower_RD39W04.raw
6435	extraction	6435	labeling	6435	6435	2				1704	order			2			39			5			P			mass spectrometry	43			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W05.raw			1200			3008			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.23			43:51:00	18		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A5			flower_RD39			flower_RD39W05			/Volumes/data_archives3/flower/FDD/flower_RD39W05.raw	data transformation	6435	/Volumes/data_archives3/flower/FDD/flower_RD39W05.raw
9946	extraction	9946	labeling	9946	9946	2				1706	order			2			39			6			P			mass spectrometry	13			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W06.raw			1200			3009			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			13:57	19		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A6			flower_RD39			flower_RD39W06			/Volumes/data_archives3/flower/FDD/flower_RD39W06.raw	data transformation	9946	/Volumes/data_archives3/flower/FDD/flower_RD39W06.raw
6612	extraction	6612	labeling	6612	6612	2				1707	order			2			39			7			P			mass spectrometry	29			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W07.raw			1200			3009			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			29:03:00	19		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A7			flower_RD39			flower_RD39W07			/Volumes/data_archives3/flower/FDD/flower_RD39W07.raw	data transformation	6612	/Volumes/data_archives3/flower/FDD/flower_RD39W07.raw
8086	extraction	8086	labeling	8086	8086	2				1708	order			2			39			8			P			mass spectrometry	44			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W08.raw			1200			3010			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			44:09:00	19		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A8			flower_RD39			flower_RD39W08			/Volumes/data_archives3/flower/FDD/flower_RD39W08.raw	data transformation	8086	/Volumes/data_archives3/flower/FDD/flower_RD39W08.raw
8562	extraction	8562	labeling	8562	8562	2				1709	order			2			39			9			P			mass spectrometry	59			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W09.raw			1200			3008			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			59:14:00	19		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A9			flower_RD39			flower_RD39W09			/Volumes/data_archives3/flower/FDD/flower_RD39W09.raw	data transformation	8562	/Volumes/data_archives3/flower/FDD/flower_RD39W09.raw
9590	extraction	9590	labeling	9590	9590	2				1710	order			2			39			10			P			mass spectrometry	14			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W10.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.23			14:21	20		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			A10			flower_RD39			flower_RD39W10			/Volumes/data_archives3/flower/FDD/flower_RD39W10.raw	data transformation	9590	/Volumes/data_archives3/flower/FDD/flower_RD39W10.raw
