"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"X2016.09.27.summer_QC"	"X2016.12.05.autumn_QC"	"X2017.02.08.winter_QC"	"X2017.06.16.spring_QC"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
97.011831104202	97.0116101763933	97.012178023185	1089.04158086964	1084.34492108593	1094.26377035691	33	6	5	6	6	35246.4000000003	42230.4959999996	38967.9359999993	44006.9280000006	46261.1520000006	46364.3040000006	14198.7707368419	21495.5999999997	19404.7145217391	24464.4960000004	20572.272	39883.0391688311	19174.8480000003	21775.8240000002	21837.6479999996	21096.7679999999	21794.6400000004	21111.5667209301	11842.9919999998	9671.75999999997	13914.7680000002	9900.24000000002	24255.5039999999
112.986085178029	112.98570120507	112.986502541019	1138.13539557632	1113.41897492189	1142.96490143292	15	5	2	4	0	27909.5040000004	38891.3279999998	29339.4310344834	""	30959.0400000004	30665.0399999996	""	""	9875.64461538464	11461.9680000001	""	12184.7040000001	""	18461.8559999999	""	19384.5119999997	16437.12	""	""	""	""	""	""
116.072129517006	116.070870856312	116.073031594388	373.332762351741	372.4384805453	374.92966253575	23	6	5	6	6	3626.07030000001	3750.432	4064.592	3229.29600000001	3770.92800000003	3597.77457391304	1804.29079999999	2388.04236	2239.44000000001	2047.59617142858	2058.07226666666	2388.02205714286	2042.023925	2285.299224	2018.16615	2051.4021	1963.052208	842.016000000001	612.863999999996	634.098599999998	1020.43199999999	619.616600000001	1194.97602
120.045883939106	120.04247470741	120.046872040969	260.589141011874	260.279805882295	260.723257807911	5	3	2	0	0	496.272	189.839999999999	389.088000000006	""	""	""	""	""	444.627225000001	""	401.855999999999	""	""	""	""	""	""	""	""	""	""	""	""
129.976650936449	129.975991825349	129.977817889982	28.0708024049233	27.3779871262268	28.2170213058434	6	4	1	0	1	1681.008	1729.27078956522	1675.968	""	""	553.728	""	1370.88	""	""	""	""	""	""	""	""	""	""	426.384	""	""	""	""
129.975935852816	129.975333680034	129.977872276142	1138.61775590541	1137.83559291531	1139.69960905179	5	3	0	2	0	987.135827586202	379.344000000014	412.271999999994	""	""	""	""	""	""	""	""	""	""	""	1570.8	1786.84799999999	""	""	""	""	""	""	""
132.045555070469	132.044716840895	132.046122409506	387.865560661117	386.408388395391	389.209343430452	9	0	1	5	3	""	""	""	""	""	""	""	""	220.416000000004	""	""	""	479.136000000004	350.783999999999	538.608000000003	657.887999999995	540.623999999996	""	263.423999999997	390.453787499999	310.128000000003	""	""
133.04090308021	133.037465201719	133.042553146646	184.793458221058	184.199412055262	185.353092571728	5	3	0	1	1	925.680000000001	""	681.529680000001	""	""	675.886515789472	""	""	""	""	""	""	""	""	334.991999999999	""	""	""	""	""	255.695999999998	""	""
142.050851747709	142.048018537229	142.05504773793	373.200666630394	372.440237148673	374.153887197195	8	1	3	3	1	""	""	""	""	250.656	""	""	445.960466666666	352.464	""	687.22225	""	508.085364705878	""	708.997235294118	451.964833333335	""	""	""	""	""	277.612246153848	""
144.045379402954	144.043687426106	144.046478555989	288.335524982292	287.175857022121	288.915359653933	11	5	5	0	0	1921.248	3004.32763636365	2307.98400000001	1725.36	1136.688	""	1758.98573333334	1962.60468	1299.312	1814.064	1556.01599999999	""	""	""	""	""	""	""	""	""	""	""	""
144.046397225394	144.045282515201	144.046736047642	388.37901641939	387.688820037459	389.28261326283	4	0	0	3	1	""	""	""	""	""	""	""	""	""	""	""	493.333238709677	""	""	1170.96	1164.24	""	""	""	""	""	""	456.767894117651
148.024720154824	148.0241226678	148.025517302345	1088.3030611784	1084.51888737439	1093.76479161693	20	6	3	5	0	8292.1440000001	8157.40800000009	9178.5119999996	8370.64799999998	8114.06400000005	10237.9200000001	""	8260.89599999995	""	4466.11200000005	8158.45160655736	3710.91285714292	4422.43200000004	8466.86400000004	3643.24799999989	""	5416.31999999992	""	""	""	""	""	""
