MS_METABOLITE_DATA_START	
Samples	01_UK49	02_UK49	03_UK49	04_UK49	31_UK49	32_UK49	33_UK49	34_UK49	
Factors	Treatment:13C6Glc | Tissue type:tumor	Treatment:13C6Glc | Tissue type:tumor	Treatment:13C6Glc_100ug/ml b-glucan | Tissue type:tumor	Treatment:13C6Glc_100ug/ml b-glucan | Tissue type:tumor	Treatment:13C6Glc | Tissue type:nontumor	Treatment:13C6Glc | Tissue type:nontumor	Treatment:13C6Glc_100ug/ml b-glucan | Tissue type:nontumor	Treatment:13C6Glc_100ug/ml b-glucan | Tissue type:nontumor	
(S)-Methylmalonic-13C0[-H+]-	180575.73		124989.76	186256.81		10499.66	5135.51	7050.49	
(S)-Methylmalonic-13C3[-H+]-				12194.40		3847.55	6524.14		
(S)-Methylmalonic-13C4[-H+]-	3748268.21	4277031.79	2925489.84	2902387.74	2643426.05	4075097.06	3530561.26	1948048.52	
13BPG-13C0[-H+]-				10591.41	46061.42	16270.07			
13BPG-13C2[-H+]-					6216.84				
13BPG-13C3[-H+]-	41062.20	167425.47	143142.48	232977.01	1349259.04	1132331.46	106362.07	240474.56	
1-Pyrroline-2-carboxylic-13C3[-H+]-	139128.44	16652.33	286641.77	658609.72					
2HG-13C0[-H+]-	21412518.32	16926683.81	14379873.50	9866246.89	4335801.39	5545110.49	3654523.21	717589.07	
2HG-13C1[-H+]-									
2HG-13C2[-H+]-	1248841.22	898333.51	1282033.77	987300.51	10869.53	16657.73	10551.96	3570.45	
2HG-13C3[-H+]-	268658.93	149946.79	348673.67	265073.47					
2HG-13C4[-H+]-	184650.78	173402.19	306271.60	301102.81					
2HG-13C5[-H+]-	195337.73	131815.29	212999.17	249195.37					
3PG-13C0[-H+]-	374222.18	241625.58	549557.24	983543.24	59485.16	49681.82	12761.92	11453.74	
3PG-13C1[-H+]-	1086.70								
3PG-13C2[-H+]-	48279.53		128201.10	114884.41	9361.97		6502.15	3628.13	
3PG-13C3[-H+]-	5796110.51	8242688.45	10398577.50	10717498.54	2392142.88	3340788.57	1094753.86	553760.71	
ADP-13C0[-H+]-	43463952.51	43214922.99	16546038.47	18781561.28	3531526.08	6523547.07	3330145.64	1424788.85	
ADP-13C1[-H+]-									
ADP-13C2[-H+]-	266188.05	38146.21		58206.73	20110.99	28645.57		4327.95	
ADP-13C3[-H+]-	359529.40	380163.36	134432.08	185831.57	53695.70	97916.25	34948.62	17921.64	
ADP-13C4[-H+]-	991720.79	698502.20	187160.33	333868.21	66915.82	138972.57	47496.35	23839.61	
ADP-13C5[-H+]-	26652442.64	23428258.84	7729281.76	10267570.48	3822830.40	6678092.85	3235989.08	1286805.32	
ADP-13C6[-H+]-									
aKG-13C0[-H+]-	4896121.49	4058115.84	3659018.01	2463175.15	2298607.49	4461265.01	5143488.40	733965.05	
aKG-13C1[-H+]-									
aKG-13C2[-H+]-	815326.95	663964.82	822758.70	431361.94	121906.49	227387.38	316167.94	20456.59	
aKG-13C3[-H+]-	208689.13	148393.97	186315.42	102763.94	13335.40	27048.80	33492.54	2996.56	
aKG-13C4[-H+]-	274860.25	187610.10	263481.47	128212.16	7281.37		8166.21	938.65	
aKG-13C5[-H+]-	191307.76	98199.91	154980.30	70232.53					
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C0[-H+]-	189825959.68	189729282.31	227739829.97	249046017.04	64085109.95	89863148.07	62815135.75	28071232.83	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C1[-H+]-				755545.00					
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C2[-H+]-									
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C3[-H+]-	11352030.29	11367126.77	13022462.20	16617445.97	2198710.62	3095487.07	2248037.98	635990.83	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C4[-H+]-									
AMP-13C0[-H+]-	31149165.97	21008752.39	15428062.90	18205439.76	1920790.87	7115276.83	1155969.05	365586.00	
AMP-13C1[-H+]-									
AMP-13C2[-H+]-									
AMP-13C3[-H+]-	104970.65	58639.24	71517.16	64726.57	4820.64	11687.30			
AMP-13C4[-H+]-	249623.57	105604.80	62277.79	101994.81					
AMP-13C5[-H+]-	13793801.35	8455333.49	5732953.24	6303055.16	843879.81	1365293.98	478033.35	120827.98	
AMP-13C6[-H+]-									
ATP-13C0[-H+]-	54088474.24	67728651.24	110903176.78	108886965.66	152133.07	309855.60	197731.81	136894.08	
ATP-13C1[-H+]-			83302.60						
ATP-13C2[-H+]-	288376.34	376857.89	781657.45	1039959.51					
ATP-13C3[-H+]-	465182.64	429525.40	1265513.58	1291009.46					
ATP-13C4[-H+]-	983309.86	975841.00	2016910.82	2284466.42					
ATP-13C5[-H+]-	35102446.53	37697976.43	60659720.98	63377152.13	195177.87	335474.55	204040.98	127118.34	
ATP-13C6[-H+]-									
ATP-13C7[-H+]-									
CDP-13C0[-H+]-	1043785.95	1287510.95	472045.17	768186.66	496412.22	725741.82	210912.70	189088.21	
CDP-13C1[-H+]-									
CDP-13C5[-H+]-	20884.23		4106.23	10585.16	17144.33		5505.76	5281.99	
CDP-13C7[-H+]-	6735.89								
cis-Aconitate-13C0[-H+]-	96709.22	40873.27	135247.11	129765.56	19298.52	171730.70	97684.97	14912.98	
Citrate-13C0[-H+]-	16573799.23	16716569.99	30686070.99	23692430.82	3454700.17	11428760.10	7063512.65	2936219.42	
Citrate-13C1[-H+]-	1736937.73	1273360.36	3201014.57	2339238.18	12686.86	544270.25	178853.88	35730.94	
Citrate-13C2[-H+]-	11356790.96	11685170.25	19946315.00	17500324.38	845823.46	2204075.64	1172731.68	447603.79	
Citrate-13C3[-H+]-	4758346.55	4100527.72	8266546.06	7176421.74	127593.04	688904.97	324816.15	95546.20	
Citrate-13C4[-H+]-	6117841.15	5308549.06	9677662.49	9543055.68	69758.37	119527.65	53397.84	30437.87	
Citrate-13C5[-H+]-	4809483.19	4028716.67	7396133.20	8010363.31	30451.16	18733.35	13874.02	8593.90	
Citrate-13C6[-H+]-	1744027.96	1297512.76	2709856.31	3317203.35	2972.32		4580.79	647.43	
CMP-13C1[-H+]-	13509.50		5267.50	8591.83					
CMP-13C2[-H+]-	13911.52		15584.15	12903.09					
CMP-13C3[-H+]-	8202.52			5794.03					
CMP-13C5[-H+]-	12346247.46	5088797.39	11083546.86	13363063.00	769136.07	5620965.39	483212.36	183576.29	
CMP-13C6[-H+]-			12240.27	117816.00		62886.77		831.74	
CMP-13C7[-H+]-									
CMP-13C9[-H+]-	104327.22	41620.14	43290.10	46931.14	5783.60	27586.34	14178.71	2798.93	
CTP-13C0[-H+]-	47998.81	77290.85	143519.55	194994.89	5426.78	11512.69	8238.05	18764.46	
CTP-13C1[-H+]-									
Cyclic AMP-13C0[-H+]-	1925147.86	1623676.41	1573909.12	2607862.25	326020.69	2667986.99	179464.62	53171.28	
Cyclic AMP-13C1[-H+]-									
Cyclic AMP-13C2[-H+]-									
Cyclic AMP-13C4[-H+]-			8648.91	3490.67					
Cyclic AMP-13C5[-H+]-	534733.46	799606.78	114367.90		244831.37	209162.09	168194.56	34622.63	
Cyclic AMP-13C6[-H+]-			1322.90	8582.38					
Deoxycytidine-13C0[-H+]-	343884.89	189560.60	127465.30	194139.81	65381.37	493626.08	390250.23	9143.70	
Deoxycytidine-13C1[-H+]-			1770.80						
Deoxycytidine-13C2[-H+]-	41872.03	11546.74	20744.72	29861.33					
Deoxycytidine-13C3[-H+]-	8592.43			10950.07					
Deoxycytidine-13C4[-H+]-				6470.29					
dGDP-13C0[-H+]-	43463952.51	43214922.99	16546038.47	18781561.28	3531526.08	6523547.07	3330145.64	1424788.85	
dGDP-13C1[-H+]-									
