Sample Name	Protocol REF	Protocol REF	Comment[Fear related behaviours]	Protocol REF	Comment[Glucose tolerance]	Protocol REF	Comment[Blood pressure]	Protocol REF	Comment[Basal hematology]	Protocol REF	Comment[Basal immunology]	Protocol REF	Comment[Experimental autoimmune encephalitis]	Protocol REF	Comment[Euthanasia and tissue dissection, day]	Comment[Euthanasia and tissue dissection]	Protocol REF	Comment[Serum biochemistry]	Protocol REF	Comment[Arterial elastic lamina ruptures]	Protocol REF	Comment[Bone mass and strength]	Protocol REF	Comment[Wound healing]	Protocol REF	Comment[Body weight]	Protocol REF	Comment[Renal agenesis]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Comment[Additional Data Record]
Outbred1	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	N/A	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping1					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred10	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	10	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	N/A	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping2					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred100	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	12	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	N/A	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping3					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1000	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	119	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping4					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1001	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	119	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping5					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1002	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	119	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping6					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1003	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	119	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping7					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1004	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	121	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping8					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1005	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	121	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping9					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
Outbred1006	Coat colour	Fear related behaviours	48 measurements taken between weeks 8 and 10 (Table 1)	Intraperitoneal Glucose Tolerance Test (IPGTT)	6 measures taken, week 11 (Table 1)	Blood pressure	9	Basal hematology	32 measures taken, week 13 (Table 1)	Basal immunology	34 measurements taken, week 13 (Table 1)	Experimental Autoimmune Encephalomyelitis (EAE)	Induced week 13, qualitative scoring between weeks 13 and 17 (Table 1)	Euthanasia and tissue dissection	122	All animals euthanized during week 17	Serum biochemistry	15 measures taken, week 17 (Table 1)	Arterial elastic lamina ruptures	6 measures taken, week 17 (Table 1)	Bone mass and strength	43 measures taken, week 17 (Table 1)	Wound healing	1 measure taken, weeks 7 and 17 (Table 1)	Body weight	6 measures taken, weeks 8, 9, 11, 13, 14, and 17 (Table 1)	Renal agenesis	1 measure taken, week 17 (Table 1)	Phenotyping10					measures.txt	Figshare	943485	http://dx.doi.org/10.6084/m9.figshare.943485	measures.txt can also be found at https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/
