Sample Name	Protocol REF	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]
1_chick_m_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome1	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176411	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
2_chick_r1_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome2	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176412	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
3_chick_r2_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome3	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176413	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
4_chick_r3_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome4	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176414	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
5_chick_r4_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome5	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176415	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
6_chick_r5_set_1	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome6	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176416	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
7_chick_m_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome7	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176417	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
8_chick_r1_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome8	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176418	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
9_chick_r2_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome9	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176419	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
10_chick_r3_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome10	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176420	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
11_chick_r4_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome11	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176421	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
12_chick_r5_set_2	RNA extraction	RNA Labeling & Oligonucleotide array	Probe-level intensity estimation	Transcriptome12	GSE48359_RAW.tar	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359	Gene-level expression	GSM1176422	GEO	GSE48359	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=tpobfsaesaiyybw&acc=GSE48359
